component,latency_ms
Intent Agent,728.2463000010466
Entity Extractor,796.6279999964172
Response Gen,1378.8521000096807
Intent Agent,282.9593000060413
Entity Extractor,293.2001000008313
Response Gen,822.0273000042653
Intent Agent,433.35220000881236
Entity Extractor,336.44669999193866
Response Gen,1425.9085000085179
Intent Agent,447.04809998802375
Entity Extractor,459.6973000006983
Response Gen,909.1773999971338
Intent Agent,379.75469999946654
Entity Extractor,422.8657000057865
Response Gen,747.8375000064261
